iter	Passed	Remaining
400	17280	25813
401	17320	25765
402	17363	25721
403	17403	25673
404	17443	25626
405	17483	25579
406	17526	25536
407	17568	25491
408	17610	25447
409	17651	25401
410	17694	25357
411	17734	25310
412	17775	25264
413	17816	25218
414	17856	25171
415	17898	25127
416	17941	25083
417	17981	25035
418	18022	24990
419	18061	24942
420	18101	24894
421	18140	24847
422	18181	24801
423	18224	24758
424	18268	24716
425	18308	24669
426	18348	24622
427	18388	24575
428	18428	24529
429	18468	24481
430	18507	24433
431	18547	24386
432	18588	24340
433	18627	24293
434	18668	24247
435	18710	24202
436	18747	24153
437	18787	24106
438	18828	24060
439	18867	24012
440	18907	23966
441	18947	23920
442	18988	23875
443	19027	23827
444	19068	23781
445	19109	23736
446	19152	23694
447	19191	23647
448	19233	23602
449	19274	23557
450	19315	23513
451	19363	23475
452	19401	23427
453	19441	23381
454	19482	23336
455	19523	23290
456	19561	23242
457	19602	23197
458	19642	23151
459	19682	23105
460	19723	23060
461	19763	23014
462	19802	22967
463	19843	22922
464	19883	22876
465	19923	22831
466	19966	22787
467	20006	22741
468	20045	22695
469	20089	22654
470	20132	22611
471	20172	22565
472	20213	22521
473	20253	22475
474	20291	22427
475	20332	22382
476	20374	22339
477	20416	22295
478	20456	22250
479	20496	22204
480	20537	22160
481	20576	22113
482	20617	22068
483	20657	22022
484	20697	21977
485	20736	21931
486	20779	21888
487	20818	21842
488	20859	21797
489	20898	21751
490	20939	21706
491	20979	21661
492	21019	21615
493	21060	21571
494	21101	21527
495	21143	21484
496	21185	21440
497	21224	21395
498	21266	21352
499	21307	21307
500	21351	21266
501	21391	21221
502	21433	21178
503	21472	21131
504	21510	21084
505	21551	21040
506	21589	20993
507	21630	20949
508	21670	20904
509	21710	20858
510	21750	20814
511	21791	20769
512	21829	20723
513	21869	20678
514	21909	20633
515	21950	20589
516	21990	20544
517	22030	20499
518	22073	20456
519	22114	20413
520	22156	20370
521	22196	20325
522	22235	20279
523	22275	20235
524	22314	20189
525	22355	20145
526	22394	20099
527	22436	20056
528	22476	20012
529	22515	19966
530	22557	19923
531	22596	19878
532	22635	19832
533	22674	19787
534	22713	19741
535	22751	19695
536	22792	19651
537	22833	19607
538	22874	19563
539	22912	19518
540	22952	19473
541	22993	19430
542	23034	19386
543	23075	19342
544	23115	19298
545	23156	19254
546	23196	19210
547	23237	19166
548	23279	19124
549	23321	19080
550	23360	19035
551	23399	18990
552	23437	18945
553	23479	18901
554	23519	18858
555	23561	18815
556	23602	18771
557	23640	18726
558	23681	18682
559	23721	18638
560	23761	18594
561	23800	18549
